report_id,utility,event_year,label,version,document_url,original_url,redlined,partial_corrections,mbl_advance_notice,mbl_advance_notice_confidence,mbl_advance_notice_source,wind_threshold_cited,wind_threshold_cited_confidence,wind_threshold_cited_source,complaints_reported,complaints_reported_confidence,complaints_reported_source,claims_reported,claims_reported_confidence,claims_reported_source,canceled_after_notice,canceled_after_notice_confidence,canceled_after_notice_source,customers_deenergized,customers_deenergized_source,counties_deenergized,counties_deenergized_source,counties_deenergized_names,first_deenergization,first_deenergization_source,first_deenergization_pdf_value,last_restoration,last_restoration_source,last_restoration_pdf_value,event_duration_hours,luna_text_truncated_after_page,image_pages_transcribed,image_pages_unread,flags
pge__10_17_2024_psps_post_event_report,PG&E,2024,"October 17, 2024: PG&E PSPS Post-Event Report",Amended,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge_psps_post-event-report_20241017-amended-redlined.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/10-17-2024-psps-post-event-report.pdf,True,,all_notified,0.64,PDF pages 4;5;9;27;54;55;56;57,not_stated,0.94,PDF pages 4;5;9;11;12;13;15;87,one_or_more,1.0,PDF pages 3;4;5;9;78;79,one_or_more,1.0,PDF pages 3;4;5;9;78;79,yes,1.0,PDF pages 4;5;9;10;34;35;48;63,17367,PDF page 4,21,PDF page 9,Alameda; Butte; Colusa; Contra Costa; Fresno; Glenn; Lake; Mendocino; Monterey; Napa; Plumas; San Benito; Santa Barbara; Santa Clara; Santa Cruz; Shasta; Solano; Sonoma; Stanislaus; Tehama; Yolo,2024-10-17 12:57,PDF page 4,2024-10-17 12:57,2024-10-20 13:18,PDF page 109,2024-10-20 13:18,72.35,,5,,mbl_advance_notice:low_confidence numbers:conflicting_sources
pge__7_20_2024_psps_post_event_report_08_02_2024,PG&E,2024,"July 20, 2024: PG&E PSPS Post-Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/7-20-2024-psps-post-event-report-08-02-2024.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/7-20-2024-psps-post-event-report-08-02-2024.pdf,False,,all_notified,0.98,PDF pages 4;5;7;23;36;37;38;39,not_stated,0.9,PDF pages 4;5;7;8;9;10;18;61,one_or_more,1.0,PDF pages 3;4;5;7;55;56,zero,1.0,PDF pages 3;4;5;7;55;56,yes,1.0,PDF pages 4;5;7;8;16;17;33;35,212,PDF page 4,3,PDF page 75,Alameda; Contra Costa; San Joaquin,2024-07-20 14:37,PDF page 75,2024-07-20 14:37,2024-07-21 08:30,PDF page 75,2024-07-21 08:30,17.88,,4,,
pge__pge11052024pspsposteventreport,PG&E,2024,"November 5, 2024: PG&E PSPS Post-Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge11052024pspsposteventreport.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge11052024pspsposteventreport.pdf,False,,all_notified,0.93,PDF pages 4;5;17;35;52;73;74;75,not_stated,0.94,PDF pages 4;5;17;19;20;21;23;105,one_or_more,1.0,PDF pages 3;4;5;17;96;97,one_or_more,1.0,PDF pages 3;4;5;17;96;97;98,yes,1.0,PDF pages 4;5;17;18;48;49;72;82,21357,PDF page 35,17,PDF page 5,Alameda; Butte; Colusa; Contra Costa; Glenn; Kern; Lake; Mendocino; Napa; Plumas; Santa Clara; Santa Cruz; Solano; Sonoma; Stanislaus; Tehama; Yolo,2024-11-05 17:27,PDF page 4,2024-11-05 17:27,2024-11-08 11:42,PDF page 99,2024-11-08 11:42,66.25,,6,,
pge__pge_psps_post_event_report_20240702,PG&E,2024,"July 2, 2024: PG&E PSPS Post-Event Report",Amended,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge_psps_post-event_report_20240702-amended-redlined.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge_psps_post-event_report_20240702.pdf,True,,all_notified,0.52,PDF pages 4;5;6;37;38;39;40;45,met,0.72,PDF pages 4;5;6;7;8;18;19;67,one_or_more,1.0,PDF pages 3;4;5;6;59;60,one_or_more,1.0,PDF pages 3;4;5;6;59;60,yes,1.0,PDF pages 4;5;6;7;15;27;35;36,1843,PDF page 23,8,PDF page 23,Butte; Colusa; Lake; Napa; Solano; Sonoma; Tehama; Yolo,2024-07-02 00:29,PDF page 23,2024-07-02 00:29,2024-07-03 17:56,PDF page 23,2024-07-03 17:56,41.45,,6,,mbl_advance_notice:low_confidence wind_threshold_cited:low_confidence numbers:conflicting_sources
pge__r1812005pge1292024_psps_postevent_report122324,PG&E,2024,"December 9, 2024: PG&E PSPS Post-Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005pge1292024-psps-postevent-report122324.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005pge1292024-psps-postevent-report122324.pdf,False,,all_notified,0.99,PDF pages 7;8;9;26;38;39;40;41,not_stated,0.91,PDF pages 7;8;9;11;12;13;15;62,one_or_more,1.0,PDF pages 6;7;8;9;55;56,zero,1.0,PDF pages 6;7;8;9;55;56,yes,0.99,PDF pages 7;8;9;10;30;31;37;85,571,PDF page 26,1,PDF page 9,Kern,2024-12-09 20:00,PDF page 73,2024-12-09 20:00,2024-12-10 18:59,PDF page 73,2024-12-10 18:59,22.98,,4,,
pge__r1812005psps_event_93010152024,PG&E,2024,"September 30, 2024: PG&E PSPS Post-Event Report",Amended,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/pge_psps_post-event-report_20240930-amended-redlined.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005psps-event-93010152024.pdf,True,,all_notified,0.58,PDF pages 4;5;7;25;44;45;46;47,not_stated,0.81,PDF pages 4;5;7;9;10;11;13;75,one_or_more,1.0,PDF pages 3;4;5;7;66;67,one_or_more,1.0,PDF pages 3;4;5;7;66;67,yes,1.0,PDF pages 4;5;7;8;30;31;42;43,9176,PDF page 25,5,PDF page 95,Butte; Colusa; Glenn; Shasta; Tehama,2024-09-30 04:38,PDF page 4,2024-09-30 04:38,2024-10-01 10:36,PDF page 95,2024-10-01 10:36,29.97,,5,,mbl_advance_notice:low_confidence wind_threshold_cited:low_confidence numbers:conflicting_sources
pge__r1812005_pge06192025_psps_post_event_report_072125,PG&E,2025,"June 19, 2025: PG&E PSPS Post-Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005--pge06192025-psps-post-event-report_072125.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005--pge06192025-psps-post-event-report_072125.pdf,False,,all_notified,0.34,PDF pages 4;5;7;23;27;34;67;68,not_stated,0.95,PDF pages 4;5;7;9;10;12;13;99,one_or_more,1.0,PDF pages 3;4;5;7;91;92,one_or_more,1.0,PDF pages 3;4;5;7;91;92,yes,1.0,PDF pages 4;5;7;8;34;35;66;78,16223,PDF page 27,19,PDF page 27,Alameda; Colusa; Contra Costa; Fresno; Glenn; Kern; Kings; Merced; Monterey; San Benito; San Joaquin; San Luis Obispo; Santa Barbara; Santa Clara; Shasta; Stanislaus; Sutter; Tehama; Trinity,2025-06-19 04:47,PDF page 4,2025-06-19 04:47,2025-06-22 17:22,PDF page 119,2025-06-22 17:22,84.58,,4,,mbl_advance_notice:low_confidence
pge__r1812005pge1132025_psps_postevent_report01020224,PG&E,2025,"January 13, 2025: PG&E PSPS Post-Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005pge1132025-psps-postevent-report01020224.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005pge1132025-psps-postevent-report01020224.pdf,False,,all_notified,0.92,PDF pages 7;8;9;27;39;40;87;88,not_stated,0.93,PDF pages 7;8;9;11;12;13;15;64,one_or_more,1.0,PDF pages 6;7;8;9;55;56,one_or_more,1.0,PDF pages 6;7;8;9;55;56,no,0.7,PDF pages 7;8;9;10;89;90;100;190,583,PDF page 27,1,PDF page 78,Kern,2025-01-12 23:13,PDF page 78,2025-01-12 23:13,2025-01-15 16:29,PDF page 78,2025-01-15 16:29,65.27,,4,,canceled_after_notice:low_confidence
pge__r1812005pge1202025_psps_postevent_report02042025,PG&E,2025,"January 20, 2025: PG&E PSPS Post-Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005pge1202025-psps-postevent-report02042025.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005pge1202025-psps-postevent-report02042025.pdf,False,,all_notified,0.99,PDF pages 7;8;9;26;38;39;84;85,not_stated,0.93,PDF pages 7;8;9;10;11;12;14;61,one_or_more,1.0,PDF pages 6;7;8;9;52;53,one_or_more,1.0,PDF pages 6;7;8;9;52;53,no,0.99,PDF pages 7;8;9;10;30;31;87;97,583,PDF page 26,1,PDF page 26,Kern,2025-01-20 13:14,PDF page 75,2025-01-20 13:14,2025-01-21 14:17,PDF page 75,2025-01-21 14:17,25.05,,3,,
pge__r1812005pge1222025_psps_postevent_report02072025,PG&E,2025,"January 22, 2025: PG&E PSPS Post-Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005pge1222025-psps-postevent-report02072025.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005pge1222025-psps-postevent-report02072025.pdf,False,,all_notified,0.9,PDF pages 7;8;9;25;36;37;82;83,not_stated,0.95,PDF pages 7;8;9;10;11;12;14;59,one_or_more,1.0,PDF pages 6;7;8;9;51;52,one_or_more,1.0,PDF pages 6;7;8;9;51;52,no,0.99,PDF pages 7;8;9;10;84;85;95;185,583,PDF page 8,1,PDF page 8,Kern,2025-01-22 17:37,PDF page 7,2025-01-22 17:37,2025-01-24 10:37,PDF page 73,2025-01-24 10:37,41.0,,4,,
pge__r1812005pge51726_psps_postevent_reports1,PG&E,2026,"May 17, 2026: PG&E PSPS Post-Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/r1812005pge51726-psps-postevent-reports1.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/r1812005pge51726-psps-postevent-reports1.pdf,False,,all_notified,0.57,PDF pages 7;8;9;30;41;42;96;97,not_stated,0.92,PDF pages 7;8;9;11;12;15;16;73,one_or_more,1.0,PDF pages 6;7;8;9;65;66,zero,0.99,PDF pages 6;7;8;9;65;66,yes,1.0,PDF pages 7;8;9;10;39;40;51;96,4583,PDF page 8,15,PDF page 9,Alameda; Colusa; Contra Costa; Fresno; Glenn; Lake; Merced; Napa; San Benito; San Joaquin; Solano; Sonoma; Stanislaus; Tehama; Yolo,2026-05-17 05:54,PDF page 88,2026-05-17 05:54,2026-05-18 20:15,PDF page 89,2026-05-18 20:15,38.35,,5,,mbl_advance_notice:low_confidence
pge__r1812005pge61026_psps_postevent_report62526,PG&E,2026,"June 10, 2026: PG&E PSPS Post-Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/r1812005pge61026-psps-postevent-report62526.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/r1812005pge61026-psps-postevent-report62526.pdf,False,,all_notified,0.7,PDF pages 7;8;9;45;46;96;100;101,not_stated,0.94,PDF pages 7;8;9;11;12;17;18;73,one_or_more,1.0,PDF pages 6;7;8;9;65;66,one_or_more,1.0,PDF pages 6;7;8;9;65;66,yes,1.0,PDF pages 7;8;9;10;42;43;45;100,4256,PDF page 9,8,PDF page 10,Colusa; Glenn; Lake; Napa; Sonoma; Sutter; Tehama; Yolo,2026-06-10 13:10,PDF page 83,2026-06-10 13:10,2026-06-11 17:53,PDF page 84,2026-06-11 17:53,28.72,,6,,mbl_advance_notice:low_confidence
pge__r1812005pge71526_psps_postevent_report073026,PG&E,2026,"July 15, 2026: PG&E PSPS Post-Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/r1812005pge71526-psps-postevent-report073026.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/r1812005pge71526-psps-postevent-report073026.pdf,False,,all_notified,0.31,PDF pages 7;8;10;31;39;40;94;95,not_stated,0.76,PDF pages 7;8;10;12;13;14;15;68,one_or_more,1.0,PDF pages 6;7;8;10;60;61,one_or_more,1.0,PDF pages 6;7;8;10;60;61;62,yes,1.0,PDF pages 7;8;10;11;36;37;49;94,5186,PDF page 10,8,PDF page 10,Alameda; Contra Costa; Marin; Monterey; San Benito; San Joaquin; San Luis Obispo; Santa Barbara,2026-07-15 12:42,PDF page 79,2026-07-15 12:42,2026-07-16 16:17,PDF page 80,2026-07-16 16:17,27.58,,7,,mbl_advance_notice:low_confidence wind_threshold_cited:low_confidence
sce__sce_esrb_8_report_regarding_november_5_through_november_13_2018,SCE,2018,"Nov. 5-13, 2018 Potential Pro-Active De-Energization Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sce-esrb-8-report-regarding-november-5-through-november-13-2018.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sce-esrb-8-report-regarding-november-5-through-november-13-2018.pdf,False,,NO_MATCHING_PAGE,,,met,0.56,PDF pages 3;4;5;6;10,one_or_more,1.0,PDF pages 9;10,zero,1.0,PDF pages 9;10,NO_MATCHING_PAGE,,,,,4,PDF page 6,Los Angeles; Orange; San Bernardino; Ventura,2018-11-08 23:24,PDF page 5,2018-11-08 23:24,2018-11-14 11:35,PDF page 6,2018-11-14 11:35,132.18,,1,,mbl_advance_notice:no_matching_page wind_threshold_cited:low_confidence canceled_after_notice:no_matching_page
sce__sce_esrb_8_report_regarding_october_12_through_october_16_2018,SCE,2018,"Oct. 12-16, 2018 Potential Pro-Active De-Energization Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sce-esrb-8-report-regarding-october-12-through-october-16-2018.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sce-esrb-8-report-regarding-october-12-through-october-16-2018.pdf,False,,not_stated,0.96,PDF pages 3,not_stated,0.9,PDF pages 2;3,one_or_more,0.42,PDF pages 9;10,not_stated,0.69,PDF pages 9;10,yes,1.0,PDF pages 9;10,0,PDF page 9,0,PDF page 9,,,,,,,,,,0,,complaints_reported:low_confidence claims_reported:low_confidence
sce__sce_esrb_8_report_dec_29_2018_jan1_2019,SCE,2019,"Dec. 29, 2018 - Jan. 1, 2019 Pro-Active De-Energization Post Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sce-esrb-8-report-dec-29-2018-jan1-2019.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sce-esrb-8-report-dec-29-2018-jan1-2019.pdf,False,,NO_MATCHING_PAGE,,,met,0.61,PDF pages 3;4;7,one_or_more,0.89,PDF pages 7;8,not_stated,0.97,PDF pages 7;8,NO_MATCHING_PAGE,,,34,PDF page 4,1,PDF page 4,Orange,2019-01-01 02:27,PDF page 4,2019-01-01 02:27,2019-01-01 17:08,PDF page 4,2019-01-01 17:08,14.68,,1,,mbl_advance_notice:no_matching_page wind_threshold_cited:low_confidence complaints_reported:low_confidence canceled_after_notice:no_matching_page
sce__sce_nov_2326_2019_psps_postevent_report,SCE,2019,"Nov. 23-26, 2019 Proactive De-energization Post-Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-nov-2326-2019-psps-postevent-report.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-nov-2326-2019-psps-postevent-report.pdf,False,,not_stated,0.89,PDF pages 3;4;7;14;15,met,0.91,PDF pages 3;4;5;8;13;15,one_or_more,0.54,PDF pages 3;4;11;12,zero,0.72,PDF pages 3;4;11;12,yes,1.0,PDF pages 3;4;30,1192,PDF page 3,5,PDF page 8,Mono; Ventura; San Bernardino; Inyo; Los Angeles,2019-11-25 08:39,PDF page 16,2019-11-25 08:39,2019-11-26 14:35,PDF page 16,2019-11-26 14:35,29.93,,1,,mbl_advance_notice:low_confidence complaints_reported:low_confidence claims_reported:low_confidence
sce__sce_post_event_reporting_october_21_through_october_26_2019,SCE,2019,"Oct. 21-26, 2019 Pro-Active De-Energization Post Event Report",Amended,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psp-post-event-report-oct-2126-2019-11262019.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-post-event-reporting-october-21-through-october-26-2019.pdf,False,,not_stated,0.84,PDF pages 3;4;17;18,met,0.99,PDF pages 3;4;5;6;7;8;11;19,one_or_more,1.0,PDF pages 3;4;13;14,one_or_more,0.92,PDF pages 3;4;13;14;15,yes,0.99,PDF pages 3;4;54,31386,PDF page 3,6,PDF page 9,Kern; Los Angeles; Orange; Riverside; San Bernardino; Ventura,2019-10-23 23:47,PDF page 110,2019-10-23 23:47,2019-10-28 19:02,PDF page 110,2019-10-28 19:02,115.25,,1,,mbl_advance_notice:low_confidence
sce__sce_post_event_reporting_september_4_through_september_8_2019,SCE,2019,"Sept. 4-8, 2019 Pro-Active De-Energization Post Event Report",Amended,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-postevent-report-sept-49-2019-9232019-amended.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-post-event-reporting-september-4-through-september-8-2019.pdf,False,,NO_MATCHING_PAGE,,,met,0.91,PDF pages 5;10;13,zero,0.94,PDF pages 12,zero,0.91,PDF pages 12,not_stated,1.0,PDF pages 1;2,650,PDF page 3,1,PDF page 3,Santa Barbara,2019-09-07 17:37,PDF page 5,2019-09-07 17:37,2019-09-08 14:18,PDF page 14,2019-09-08 14:18,20.68,,1,,mbl_advance_notice:no_matching_page
sce__sce_psps_post_event_report_june_28july8_2019_7222019,SCE,2019,"Jun. 28-Jul. 8, 2019 Potential Pro-Active De-Energization Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-post-event-report-june-28july8-2019-7222019.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-post-event-report-june-28july8-2019-7222019.pdf,False,,not_applicable,1.0,PDF pages 3;4;14;15,not_stated,0.88,PDF pages 3;4;5;8;9;29;30,one_or_more,1.0,PDF pages 3;4;13;14,not_stated,0.66,PDF pages 3;4;13;14,yes,1.0,PDF pages 3;4;32;35;36;41,0,PDF page 13,0,PDF page 13,,,,,,,,,,1,,wind_threshold_cited:low_confidence claims_reported:low_confidence
sce__sce_psps_post_event_reportjune_17_22_2019_752019,SCE,2019,"Jun. 17-22, 2019 Potential Pro-Active De-Energization Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-post-event-reportjune-17-22-2019-752019.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-post-event-reportjune-17-22-2019-752019.pdf,False,,not_applicable,1.0,PDF pages 3;4;10;11,not_stated,0.93,PDF pages 3;4;5;11,zero,0.99,PDF pages 3;4;9;10,zero,0.84,PDF pages 3;4;9;10,yes,1.0,PDF pages 3;4;17,0,PDF page 9,0,PDF page 9,,,,,,,,,,1,,claims_reported:low_confidence
sce__sce_psps_postevent_report_july_921_2019_822019,SCE,2019,"Jul. 9-21, 2019 Potential Pro-Active De-Energization Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-postevent-report-july-921-2019-822019.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-postevent-report-july-921-2019-822019.pdf,False,,not_applicable,1.0,PDF pages 3;4;17;18,not_stated,0.89,PDF pages 1;2;3;4;5;18,zero,0.99,PDF pages 3;4;16;17,zero,0.83,PDF pages 3;4;16;17,yes,1.0,PDF pages 3;4;95;96;97,0,PDF page 16,0,PDF page 16,,,,,,,,,,2,,wind_threshold_cited:low_confidence claims_reported:low_confidence
sce__sce_psps_postevent_report_nov_1517_2019_1222019,SCE,2019,"Nov. 15-17, 2019 Proactive De-Energization Post Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-postevent-report-nov-1517-2019-1222019.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-postevent-report-nov-1517-2019-1222019.pdf,False,,not_stated,0.91,PDF pages 3;4;12;13,not_met,0.24,PDF pages 3;4;5;7;9;11;13,zero,1.0,PDF pages 3;4;9;10,one_or_more,0.99,PDF pages 3;4;9;10,yes,1.0,PDF pages 3;4;25,49,PDF page 7,1,PDF page 7,Ventura,2019-11-17 05:18,PDF page 7,2019-11-17 05:18,2019-11-17 10:00,PDF page 7,2019-11-17 10:00,4.7,,1,,wind_threshold_cited:low_confidence
sce__sce_psps_postevent_report_oct_1221_2019_1112019,SCE,2019,"Oct. 12-21, 2019 Pro-Active De-Energization Post Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-postevent-report-oct-1221-2019-1112019.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-postevent-report-oct-1221-2019-1112019.pdf,False,,not_stated,0.91,PDF pages 3;4;15;16,met,0.98,PDF pages 3;4;5;6;7;8;9;14,zero,1.0,PDF pages 3;4;12;13,zero,0.65,PDF pages 3;4;12;13,yes,1.0,PDF pages 3;4;39,444,PDF page 14,4,PDF page 3,Kern; Los Angeles; Mono; San Bernardino,2019-10-16 22:01,PDF page 7,2019-10-16 22:01,2019-10-21 00:06,PDF page 10,2019-10-21 00:06,98.08,,1,,claims_reported:low_confidence
sce__sce_psps_postevent_report_sept_21oct1_2019_10152019,SCE,2019,"Sept. 21-Oct. 1, 2019: Pro-Active De-Energization Post Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-psps-postevent-report-sept-21oct1-2019-10152019.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-psps-postevent-report-sept-21oct1-2019-10152019.pdf,False,,NO_MATCHING_PAGE,,PDF pages 3;4;20;21,met,0.96,PDF pages 3;4;5;6;18;20,one_or_more,1.0,PDF pages 3;4;19;20,zero,1.0,PDF pages 3;4;19;20,yes,0.99,PDF pages 3;4;42,85,PDF page 3,1,PDF page 3,Riverside,2019-09-24 14:46,PDF page 5,2019-09-24 14:46,2019-09-24 20:34,PDF page 19,2019-09-24 20:34,5.8,,1,24(unreadable);25(unreadable);26(unreadable);27(unreadable);28(unreadable);29(unreadable);30(unreadable);31(not_transcribed_cap);32(not_transcribed_cap);33(not_transcribed_cap);34(not_transcribed_cap),mbl_advance_notice:no_matching_page event:unreadable_page
sce__sce_psps_postevent_reportaug_1217_2019_8302019,SCE,2019,"Aug. 12-17, 2019 Potential Pro-Active De-Energization Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-postevent-reportaug-1217-2019-8302019.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-postevent-reportaug-1217-2019-8302019.pdf,False,,NO_MATCHING_PAGE,,PDF pages 3;4;10;11,not_stated,0.95,PDF pages 2;3;4;5;6;7;8;11,zero,0.3,PDF pages 3;4;9;10,zero,0.42,PDF pages 3;4;9;10,yes,1.0,PDF pages 3;4,0,PDF page 9,0,PDF page 9,,,,,,,,,,2,,mbl_advance_notice:no_matching_page complaints_reported:low_confidence claims_reported:low_confidence
sce__sce_psps_postevent_reportaug_310_2019_8222019,SCE,2019,"Aug. 3-10, 2019: Pro-Active De-Energization Post Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-psps-postevent-reportaug-310-2019-8222019.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-psps-postevent-reportaug-310-2019-8222019.pdf,False,,not_applicable,1.0,PDF pages 3;4;11;12;14,not_stated,0.95,PDF pages 2;3;4;5;6;7;17;18,not_stated,0.54,PDF pages 3;4;10;11,not_stated,0.29,PDF pages 3;4;10;11,yes,0.99,PDF pages 3;4,0,PDF page 10,0,PDF page 10,,,,,,,,,,4,,complaints_reported:low_confidence claims_reported:low_confidence
sce__sce_psps_postevent_reportjuly_2228_2019_892019,SCE,2019,"Jul. 22-28, 2019: Pro-Active De-Energization Post Event Report",original,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-psps-postevent-reportjuly-2228-2019-892019.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-psps-postevent-reportjuly-2228-2019-892019.pdf,False,,not_applicable,1.0,PDF pages 3;4;11;12,not_stated,0.94,PDF pages 1;2;3;4;5;7;12,zero,0.99,PDF pages 3;4;9;10,zero,0.89,PDF pages 3;4;9;10,yes,1.0,PDF pages 3;4;5,0,PDF page 9,0,PDF page 9,,,,,,,,,,2,,claims_reported:low_confidence
